id,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
57,28/09/14,Cordoba,Espanol,0,0,D,0,0,D,10,4,4,2,13,26,3,5,2,6,0,0
58,28/09/14,Getafe,Malaga,1,0,H,1,0,H,9,10,3,0,8,16,4,4,0,3,0,1
59,28/09/14,La Coruna,Almeria,0,1,A,0,0,D,8,15,1,6,14,18,6,5,2,4,0,0
60,28/09/14,Sociedad,Valencia,1,1,D,1,1,D,18,7,5,2,13,17,11,4,2,5,0,0
61,3/10/2014,Getafe,Cordoba,1,1,D,0,0,D,18,10,5,3,12,11,8,3,1,2,0,0
62,4/10/2014,Almeria,Elche,2,2,D,1,1,D,16,6,3,3,13,18,9,5,2,4,0,1
63,4/10/2014,Eibar,Levante,3,3,D,0,2,A,14,13,6,5,12,16,4,4,3,1,0,0
64,4/10/2014,Malaga,Granada,2,1,H,0,1,A,17,8,3,5,12,15,3,3,1,4,1,0
65,4/10/2014,Valencia,Ath Madrid,3,1,H,3,1,H,6,19,3,5,23,14,1,6,4,0,0,1
66,4/10/2014,Vallecano,Barcelona,0,2,A,0,2,A,14,18,4,7,19,7,6,7,2,2,2,0
67,5/10/2014,Celta,Villarreal,1,3,A,1,2,A,15,11,6,4,15,22,11,4,3,4,1,0
68,5/10/2014,Espanol,Sociedad,2,0,H,1,0,H,10,13,4,4,20,12,4,4,6,2,0,0
69,5/10/2014,Real Madrid,Ath Bilbao,5,0,H,2,0,H,19,6,14,5,9,10,8,7,1,2,0,0
70,5/10/2014,Sevilla,La Coruna,4,1,H,2,1,H,16,7,10,5,11,10,9,2,2,2,0,0
71,17/10/14,Granada,Vallecano,0,1,A,0,0,D,9,8,1,2,17,13,3,6,4,5,0,0
72,18/10/14,Ath Bilbao,Celta,1,1,D,1,0,H,13,4,4,1,13,16,9,2,3,3,0,0
73,18/10/14,Barcelona,Eibar,3,0,H,0,0,D,27,4,12,2,9,13,12,3,2,2,0,0
74,18/10/14,Cordoba,Malaga,1,2,A,0,2,A,8,8,2,4,16,21,6,13,2,3,0,0
75,18/10/14,Levante,Real Madrid,0,5,A,0,2,A,11,21,1,11,13,8,6,3,4,0,0,0
76,19/10/14,Ath Madrid,Espanol,2,0,H,1,0,H,20,7,9,1,19,19,12,1,0,0,0,0
77,19/10/14,Elche,Sevilla,0,2,A,0,0,D,12,10,1,7,18,23,6,4,5,2,0,0
78,19/10/14,La Coruna,Valencia,3,0,H,2,0,H,11,8,5,1,19,19,3,5,3,3,0,0
79,19/10/14,Villarreal,Almeria,2,0,H,1,0,H,17,10,8,3,20,16,6,4,5,2,0,0
80,20/10/14,Sociedad,Getafe,1,2,A,0,0,D,13,16,2,7,10,13,8,4,1,3,0,0
81,24/10/14,Celta,Levante,3,0,H,1,0,H,13,4,4,0,14,16,7,0,0,3,0,0
82,25/10/14,Almeria,Ath Bilbao,0,1,A,0,0,D,7,6,3,1,10,14,4,8,2,1,0,0
83,25/10/14,Cordoba,Sociedad,1,1,D,0,1,A,7,7,3,1,13,12,5,4,3,2,0,0
84,25/10/14,Eibar,Granada,1,1,D,1,1,D,7,8,3,3,14,14,7,8,3,4,0,0
85,25/10/14,Real Madrid,Barcelona,3,1,H,1,1,D,18,16,6,5,11,10,3,9,2,4,0,0
86,25/10/14,Valencia,Elche,3,1,H,2,0,H,12,8,4,3,11,17,8,6,0,2,0,0
87,26/10/14,Espanol,La Coruna,0,0,D,0,0,D,16,5,5,1,12,17,11,0,2,4,0,0
88,26/10/14,Getafe,Ath Madrid,0,1,A,0,1,A,11,12,4,7,17,11,1,8,3,3,1,0
89,26/10/14,Malaga,Vallecano,4,0,H,3,0,H,18,10,8,4,18,21,7,4,1,4,0,0
90,26/10/14,Sevilla,Villarreal,2,1,H,0,0,D,8,11,4,4,19,15,3,2,3,4,0,0
91,31/10/14,La Coruna,Getafe,1,2,A,0,1,A,9,16,2,4,7,23,4,6,2,1,0,0
92,1/11/2014,Ath Madrid,Cordoba,4,2,H,1,0,H,16,8,8,4,12,13,4,5,0,2,0,0
93,1/11/2014,Barcelona,Celta,0,1,A,0,0,D,19,10,9,4,10,29,9,5,1,2,0,0
94,1/11/2014,Granada,Real Madrid,0,4,A,0,2,A,11,18,5,8,19,9,3,4,1,2,0,0
95,1/11/2014,Sociedad,Malaga,0,1,A,0,0,D,5,6,0,2,18,22,6,3,2,5,0,0
96,2/11/2014,Ath Bilbao,Sevilla,1,0,H,1,0,H,9,4,2,1,24,11,4,8,4,3,0,0
97,2/11/2014,Elche,Espanol,2,1,H,1,0,H,11,15,5,5,19,10,4,10,2,2,2,0
98,2/11/2014,Levante,Almeria,2,1,H,1,0,H,11,14,5,5,17,17,3,6,3,2,0,0
99,2/11/2014,Villarreal,Valencia,1,3,A,0,1,A,14,6,4,3,12,15,11,4,2,3,0,0
100,3/11/2014,Vallecano,Eibar,2,3,A,0,1,A,16,8,6,5,10,14,11,2,1,2,0,0
101,7/11/2014,Cordoba,La Coruna,0,0,D,0,0,D,14,6,6,2,10,5,3,2,4,0,0,1
102,8/11/2014,Almeria,Barcelona,1,2,A,1,0,H,6,18,2,6,16,9,4,5,2,0,0,0
103,8/11/2014,Celta,Granada,0,0,D,0,0,D,17,8,5,1,14,17,6,2,1,5,0,0
104,8/11/2014,Getafe,Elche,0,0,D,0,0,D,16,11,3,5,11,8,9,2,1,2,0,0
105,8/11/2014,Malaga,Eibar,2,1,H,0,1,A,15,7,8,3,9,15,5,3,3,2,0,1
106,8/11/2014,Real Madrid,Vallecano,5,1,H,2,1,H,16,15,11,6,12,15,4,6,0,4,0,0
107,9/11/2014,Espanol,Villarreal,1,1,D,0,1,A,11,9,4,5,16,25,6,7,3,3,0,0
108,9/11/2014,Sevilla,Levante,1,1,D,1,0,H,15,16,6,5,13,10,6,5,2,6,0,0
109,9/11/2014,Sociedad,Ath Madrid,2,1,H,1,1,D,11,4,5,2,17,17,2,1,2,6,0,1
110,9/11/2014,Valencia,Ath Bilbao,0,0,D,0,0,D,8,4,1,1,13,17,2,4,0,2,0,0
111,21/11/14,Ath Bilbao,Espanol,3,1,H,2,0,H,9,8,5,3,15,18,5,3,0,5,0,0
112,22/11/14,Ath Madrid,Malaga,3,1,H,2,0,H,11,4,5,1,18,14,4,3,1,3,1,1
113,22/11/14,Barcelona,Sevilla,5,1,H,1,0,H,16,2,10,0,8,21,5,4,1,2,0,0
114,22/11/14,Eibar,Real Madrid,0,4,A,0,2,A,10,19,2,8,16,9,4,2,4,2,0,0
115,22/11/14,La Coruna,Sociedad,0,0,D,0,0,D,11,17,4,5,14,11,8,6,3,1,0,0
116,23/11/14,Elche,Cordoba,2,2,D,0,1,A,17,10,6,3,16,14,6,2,3,4,0,0
117,23/11/14,Levante,Valencia,2,1,H,0,0,D,10,17,5,6,20,18,4,5,2,1,0,0
118,23/11/14,Vallecano,Celta,1,0,H,1,0,H,9,14,3,4,14,16,2,9,6,4,0,0
119,23/11/14,Villarreal,Getafe,2,1,H,2,0,H,10,15,4,5,15,14,7,4,3,2,0,0
120,24/11/14,Granada,Almeria,0,0,D,0,0,D,24,3,11,1,10,7,10,5,4,0,0,1
121,28/11/14,Sociedad,Elche,3,0,H,2,0,H,12,13,8,5,15,15,2,1,2,4,0,0
122,29/11/14,Celta,Eibar,0,1,A,0,1,A,29,8,9,2,10,21,15,1,4,5,0,0
123,29/11/14,Espanol,Levante,2,1,H,2,1,H,10,16,4,3,21,10,5,6,2,3,0,0
